Unnamed: 0,State,Year,Quarter,Transaction_type,Transaction_count,Transaction_amount,Transaction_count_log,Transaction_amount_log
2359,Mizoram,2021,2,Peer-to-peer payments,173064,995581952.903405,12.061416747264705,20.718838001438662
2360,Mizoram,2021,2,Recharge & bill payments,161763,56059844.239659324,11.99388758007639,17.84193032523932
2361,Mizoram,2021,2,Merchant payments,57877,69528721.40156102,10.96607534802687,18.057250482744045
2362,Mizoram,2021,2,Financial Services,611,710657.5065644829,6.415096959171596,13.47394588606709
2363,Mizoram,2021,2,Others,1025,993297.250902934,6.932447891572509,13.808785244559362
2364,Mizoram,2021,3,Peer-to-peer payments,224873,1290523196.259221,12.323291077383379,20.978313551590787
2365,Mizoram,2021,3,Recharge & bill payments,177281,67493206.62394348,12.08549132331937,18.027537508169708
2366,Mizoram,2021,3,Merchant payments,74553,113697005.89821,11.21926556083191,18.549047625024958
2367,Mizoram,2021,3,Financial Services,522,806905.9729422838,6.257667587882639,13.600962426141935
2368,Mizoram,2021,3,Others,1300,1228335.4576346255,7.170119543449628,14.021170524353574
2369,Mizoram,2021,4,Peer-to-peer payments,272209,1545255603.4119103,12.51432543257649,21.15845517271414
2370,Mizoram,2021,4,Recharge & bill payments,179405,67548806.84754582,12.097401098898498,18.028360958965717
2371,Mizoram,2021,4,Merchant payments,99265,154183940.72826496,11.50554832063118,18.853656867938863
2372,Mizoram,2021,4,Financial Services,695,2202285.707728365,6.543911845564792,14.605006337043505
2373,Mizoram,2021,4,Others,1755,1475104.827591939,7.470224135899966,14.204239614784592
2374,Mizoram,2022,1,Peer-to-peer payments,302740,1691281089.989316,12.620629630316555,21.248752120126913
2375,Mizoram,2022,1,Recharge & bill payments,190137,76541062.33691595,12.155500143940648,18.153337917365327
2376,Mizoram,2022,1,Merchant payments,109669,174157725.41469872,11.605222017448801,18.97547191448545
2377,Mizoram,2022,1,Financial Services,731,1657575.282816791,6.594413459749778,14.32086641950803
2378,Mizoram,2022,1,Others,1640,1521510.587498479,7.402451520818244,14.235214206887445
2379,Mizoram,2022,2,Peer-to-peer payments,332102,1739114390.3016624,12.71319742962915,21.2766418495121
2380,Mizoram,2022,2,Recharge & bill payments,172281,70775723.34635986,12.056882143655496,18.07502660927539
2381,Mizoram,2022,2,Merchant payments,137279,191484723.76839563,11.829770630312973,19.070318591958653
2382,Mizoram,2022,2,Financial Services,656,801633.2114598342,6.486160788944089,13.594406439916348
2383,Mizoram,2022,2,Others,1659,1010096.4810587188,7.413970290190444,13.825556410055855
2384,Mizoram,2022,3,Peer-to-peer payments,349715,1665955694.9848173,12.764873816040614,21.233664786690877
2385,Mizoram,2022,3,Recharge & bill payments,156874,68463689.80469275,11.963198214345876,18.041814086848685
2386,Mizoram,2022,3,Merchant payments,150320,209934220.28326848,11.920521634087347,19.162304802866526
2387,Mizoram,2022,3,Financial Services,802,880187.5512756812,6.687108607866515,13.687890290195812
2388,Mizoram,2022,3,Others,1327,1031819.4438998674,7.190676034332207,13.846834252255434
2389,Mizoram,2022,4,Peer-to-peer payments,378295,1750113148.3068104,12.84342959351025,21.282946278967035
2390,Mizoram,2022,4,Merchant payments,164389,222455759.17733783,12.009990849389975,19.220238804642207
2391,Mizoram,2022,4,Recharge & bill payments,148573,63477925.042983845,11.908831698929383,17.966202766304765
2392,Mizoram,2022,4,Financial Services,932,949850.198945797,6.837332814685591,13.764059565822873
2393,Mizoram,2022,4,Others,1585,914402.5369417528,7.368339686311381,13.726026165892128
2394,Nagaland,2018,1,Recharge & bill payments,28198,5361675.549623315,10.247006332425306,15.494787086738654
2395,Nagaland,2018,1,Peer-to-peer payments,11631,69830122.02063876,9.36142922633904,18.06157602221635
2396,Nagaland,2018,1,Merchant payments,822,1170667.4151649117,6.71174039505618,13.973084584446601
2397,Nagaland,2018,1,Financial Services,399,299016.7345620737,5.988961416889864,12.608254819241678
