Unnamed: 0,State,Year,Quarter,brands,Count,Percentage,Count_log,Percentage_log
1449,Dadra and Nagar Haveli and Daman and Diu,2021,1,Lenovo,4531,0.0140978730289113,8.418697944667139,-4.261731341990254
1450,Dadra and Nagar Haveli and Daman and Diu,2021,1,Tecno,3575,0.0111233493882935,8.181720455128108,-4.498708831529285
1451,Dadra and Nagar Haveli and Daman and Diu,2021,1,Others,26537,0.0825679224383626,10.186295264571648,-2.4941340220857398
1452,Dadra and Nagar Haveli and Daman and Diu,2021,2,Vivo,87001,0.2521811973541569,11.373674891823535,-1.3776074127343825
1453,Dadra and Nagar Haveli and Daman and Diu,2021,2,Xiaomi,77605,0.2249459410888305,11.259387137085286,-1.4918951674726337
1454,Dadra and Nagar Haveli and Daman and Diu,2021,2,Samsung,57137,0.1656173730557633,10.953207171781322,-1.7980751327765967
1455,Dadra and Nagar Haveli and Daman and Diu,2021,2,Oppo,43131,0.1250195655576618,10.671997275090702,-2.0792850294672167
1456,Dadra and Nagar Haveli and Daman and Diu,2021,2,Realme,27996,0.0811492373780413,10.23981692180943,-2.5114653827484887
1457,Dadra and Nagar Haveli and Daman and Diu,2021,2,Apple,6273,0.0181829249204334,8.744009988096744,-4.007272316461175
1458,Dadra and Nagar Haveli and Daman and Diu,2021,2,Huawei,4834,0.0140118378870357,8.483429561263428,-4.267852743294491
1459,Dadra and Nagar Haveli and Daman and Diu,2021,2,Motorola,4803,0.0139219812518478,8.476996001664824,-4.274286302893098
1460,Dadra and Nagar Haveli and Daman and Diu,2021,2,Tecno,4453,0.0129074708545655,8.401333305321703,-4.349948999236223
1461,Dadra and Nagar Haveli and Daman and Diu,2021,2,Lenovo,4280,0.0124060128581946,8.361708288575842,-4.389574015982079
1462,Dadra and Nagar Haveli and Daman and Diu,2021,2,Others,27481,0.0796564577934688,10.221250135776074,-2.5300321687818452
1463,Dadra and Nagar Haveli and Daman and Diu,2021,3,Vivo,95723,0.2574070787417243,11.469213882943631,-1.3570964832591548
1464,Dadra and Nagar Haveli and Daman and Diu,2021,3,Xiaomi,82367,0.2214916880448754,11.31894015024496,-1.5073702159578257
1465,Dadra and Nagar Haveli and Daman and Diu,2021,3,Samsung,59023,0.1587177377283703,10.98568247743216,-1.840627888770626
1466,Dadra and Nagar Haveli and Daman and Diu,2021,3,Oppo,46708,0.1256016822902381,10.751670735195605,-2.0746396310071797
