State,Year,Quarter,District,Count,Amount,Count_log,Amount_log
Gujarat,2022,1,anand district,3048076,5515844713.90881,14.93002112986102,22.43089064454298
Gujarat,2022,1,jamnagar district,2155185,3995387220.064081,14.583387124703103,22.108406337641348
Gujarat,2022,1,devbhumi dwarka district,577554,1393188002.3646598,13.266557223500133,21.0548604848519
Gujarat,2022,1,rajkot district,5044420,11183107357.249798,15.433793239848638,23.137670204986605
Gujarat,2022,1,aravallis district,1603295,3245867369.8418803,14.287571444604112,21.900648445635916
Gujarat,2022,1,chhotaudepur district,469160,961037555.5333875,13.058699140635442,20.683524045810298
Gujarat,2022,1,botad district,1089654,2529006396.9082165,13.901370772620721,21.651092334053033
Gujarat,2022,1,bharuch district,7704075,12142511077.777298,15.857259967615205,23.219978444498132
Gujarat,2022,1,bhavnagar district,2733486,6507151536.779606,14.82108827566515,22.596167645459122
Gujarat,2022,1,junagadh district,1159000,2632740612.928868,13.96306812232189,21.691291198718243
Gujarat,2022,1,mahesana district,5772191,12148997855.252472,15.568562289111501,23.22051252228204
Gujarat,2022,1,the dangs district,199292,319930741.7016173,12.202526364903514,19.583615098150776
Gujarat,2022,1,kheda district,2392631,4653031406.32455,14.687904155251237,22.260784759479794
Gujarat,2022,1,surat district,31199368,60384509134.17688,17.25590839616429,24.823998437704333
Gujarat,2022,1,porbandar district,368108,1041885112.1535248,12.816131652355617,20.76429751714847
Gujarat,2022,1,gandhinagar district,8605006,14673670632.364445,15.967854684896563,23.409320611324894
Gujarat,2022,1,panch mahals district,2317566,4354464949.808912,14.65602805498103,22.19446758087623
Gujarat,2022,1,narmada district,590661,1028206703.2216128,13.288997527753576,20.75108205693966
Gujarat,2022,1,gir somnath district,1311753,3149910594.0697384,14.086874968567498,21.87063990654615
Gujarat,2022,1,valsad district,6673719,11065186874.369562,15.713687833721126,23.127069699088516
Gujarat,2022,1,mahisagar district,634329,1400068532.0580125,13.360323026267872,21.059787023839547
Gujarat,2022,1,sabar kantha district,3018096,5899494954.572109,14.92013672694916,22.498132583274135
Gujarat,2022,1,tapi district,1479525,2625677244.2605915,14.20723164828018,21.688604697527843
Gujarat,2022,1,vadodara district,14343830,22232541228.69869,16.478830442551587,23.824822873670115
Gujarat,2022,1,banas kantha district,7973644,18279879154.011223,15.891652160830251,23.62906679211967
Gujarat,2022,1,amreli district,1139593,2619535836.606331,13.946181739080883,21.68626297742381
Gujarat,2022,1,ahmadabad district,79952986,140746136456.2987,18.196949344889518,25.670223653900642
Gujarat,2022,1,dohad district,1492215,3303671729.6961093,14.215772151240841,21.91830033225021
Gujarat,2022,1,navsari district,2558811,4448236738.077925,14.755053255438984,22.215773615967116
Gujarat,2022,1,patan district,2676329,5505990582.930806,14.79995663736675,22.429102533336778
Gujarat,2022,1,kachchh district,6493295,13234467234.409916,15.686280664002368,23.306090417520572
Gujarat,2022,1,surendranagar district,1770045,4155739566.663168,14.386515527955648,22.147756243798135
Gujarat,2022,1,morbi district,2000248,5171017148.465556,14.508781730836855,22.366335246631454
Gujarat,2022,2,anand district,3366969,5980713686.880918,15.02952349109162,22.511805743420087
Gujarat,2022,2,jamnagar district,2577307,4428726322.515411,14.762255613311211,22.211377867816463
Gujarat,2022,2,devbhumi dwarka district,699907,1553973410.0873568,13.458702748056393,21.164080978119582
Gujarat,2022,2,rajkot district,6063252,12629937169.82262,15.617756847772512,23.259335798618892
Gujarat,2022,2,aravallis district,1985375,3936343254.172672,14.501318371137456,22.09351802121928
Gujarat,2022,2,chhotaudepur district,554481,1118837886.278185,13.2257878200818,20.835556382034948
Gujarat,2022,2,botad district,1319494,2481012650.813588,14.092758887738217,21.631932640721505
Gujarat,2022,2,bharuch district,8898927,13524403306.877403,16.00144126563646,23.32776154291479
Gujarat,2022,2,bhavnagar district,3280598,7203081678.4895935,15.003536280815759,22.697774782299216
Gujarat,2022,2,junagadh district,1303634,2870016919.846751,14.080666307225552,21.77758376211755
Gujarat,2022,2,mahesana district,6831581,13686497405.843657,15.737066683530028,23.339675592952165
Gujarat,2022,2,the dangs district,242942,386904516.30286825,12.400578010705763,19.773688492652155
Gujarat,2022,2,kheda district,2804743,5136552729.090972,14.846822470637985,22.359648016136084
Gujarat,2022,2,surat district,37371820,68525386888.44026,17.43642750244327,24.950470125065184
Gujarat,2022,2,porbandar district,451806,1247309372.061276,13.021008163140342,20.944254565946707
Gujarat,2022,2,gandhinagar district,10158506,16650584409.353096,16.13382194205801,23.535711152417733
Gujarat,2022,2,panch mahals district,2768107,4913162124.983287,14.833674251041934,22.315183588770893
Gujarat,2022,2,narmada district,728214,1199594621.9613156,13.498350240026166,20.905249521635778
Gujarat,2022,2,gir somnath district,1593762,3597900918.795203,14.281607817272292,22.00361643423988
Gujarat,2022,2,valsad district,8033358,12554813235.04937,15.899113180327479,23.25336995370253
Gujarat,2022,2,mahisagar district,787617,1679677472.3282216,13.576767210074856,21.241867631173903
Gujarat,2022,2,sabar kantha district,3593785,6977672565.899878,15.094716522610808,22.6659812548353
Gujarat,2022,2,tapi district,1783511,3029292345.32784,14.394094451409947,21.83159487979403
Gujarat,2022,2,vadodara district,16566055,24927078678.274376,16.622866280187957,23.939220546639895
Gujarat,2022,2,banas kantha district,9732655,20605533611.378277,16.090997284360995,23.74882549858111
Gujarat,2022,2,amreli district,1320163,2813019600.359752,14.093265771787411,21.75752433420794
Gujarat,2022,2,ahmadabad district,96453555,161506106645.9494,18.38457215511265,25.807808790943486
Gujarat,2022,2,dohad district,1809814,3896428797.800151,14.40873463553065,22.083326277707428
Gujarat,2022,2,navsari district,3327016,5310124254.046915,15.01758636412641,22.392881071935317
Gujarat,2022,2,patan district,3116746,6276857246.360606,14.952300066818253,22.560135253687783
Gujarat,2022,2,kachchh district,7934471,15334005512.230762,15.88672724305366,23.45333878156073
Gujarat,2022,2,surendranagar district,2087742,4713415151.499961,14.551593657131713,22.27367856747159
Gujarat,2022,2,morbi district,2504883,6103036587.724854,14.73375258482349,22.5320522855301
Gujarat,2022,3,anand district,3910410,6469350595.472251,15.17915278579923,22.59034156877903
Gujarat,2022,3,jamnagar district,3714625,5733544044.074508,15.127788288912484,22.469599683295836
